name,cas,carbons,distributor,container_size,state,location,bottles,storage_conditions,hazards,sds_link
"Formic acid, 98-100%, extra pure",64-18-6,,Fisher Scientific,1 L,<NA>,Yunxiu's fume hood,1,rt,"flammable, corrosive, toxic (inhalation)",https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC147930250
Formic acid,64-18-6,,Fisher Scientific,50 mL,<NA>,Yunxiu's fume hood,1,rt,"flammable, corrosive, toxic (inhalation)",https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC147930251
Hydrochloric Acid,7647-01-0,,Fisher Scientific,2.5 L,<NA>,Yunxiu's fume hood,1,rt,"corrosive, toxic (inhalation)",https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC450550025
Hydrochloric Acid,7647-01-0,,Fisher Scientific,500 mL,<NA>,Yunxiu's fume hood,1,rt,"corrosive, toxic (inhalation)",https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC450550025
"Hydrochloric Acid, ACS reagent 37%",7647-01-0,,Sigma-Aldrich,25 mL,<NA>,Yunxiu's fume hood,3,rt,"corrosive, toxic (inhalation)",https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC450550025
methane sulfonic acid,75-75-2,,Sigma-Aldrich,500 mL,<NA>,Yunxiu's fume hood,1,rt,corrosive,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC125612500
methane sulfonic acid,75-75-2,,Sigma-Aldrich,100 g,<NA>,Yunxiu's fume hood,1,rt,corrosive,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC125612500
Nitric acid,7697-37-2,,Fisher Scientific,2.5L,<NA>,Yunxiu's fume hood,3,rt,"oxidizer, corrosive, toxic (inhalation)",https://www.sigmaaldrich.com/US/en/sds/sial/695041
"o-Phosphoric Acid, 85%",7664-38-2,,Fisher Scientific,500 mL,<NA>,Yunxiu's fume hood,2,rt,corrosive,https://www.columbuschemical.com/MSDS/SDS/Phosphoric%20Acid%2085%25%20ACS%204035.pdf
Oxalic acid,144-62-7,,Sigma-Aldrich,50 g,<NA>,Yunxiu's fume hood,1,rt,"toxic, eye damage",https://www.sigmaaldrich.com/US/en/sds/sial/75688
p-Toluenesulfonic acid monohydrate,6192-52-5,,Sigma-Aldrich,100 g,<NA>,Yunxiu's fume hood,1,rt,corrosive,https://www.tcichemicals.com/BE/en/sds/T0267_EU_6N.pdf
Phosphoric acid diphenyl methyl phenyl ester,26444-49-5,,Alfa Aesar,100mL,<NA>,Yunxiu's fume hood,1,rt,aquatic toxicity,https://assets.thermofisher.com/DirectWebViewer/private/results.aspx?LANGUAGE=d__EN&PLANT=d__ALF&SKU=ALFAA42092&SUBFORMAT=d__CGV4&page=NewSearch
Phosphotungstic Acid Solution ,12501-23-4,,Sigma-Aldrich,250 mL,<NA>,Yunxiu's fume hood,2,rt,corrosive,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC208311000
Phosphotungstic Acid Solution 1% Aqueous Solution,12501-23-4,,Electron Microscopy Sciences,500 mL,<NA>,Yunxiu's fume hood,1,rt,corrosive,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC208311000
Stearic Acid,57-11-4,,TCI,500 g,<NA>,Yunxiu's fume hood,1,rt,low hazard,https://www.sigmaaldrich.com/US/en/sds/sial/175366
Sulfuric Acid,7664-93-9,,Fisher Scientific,2.5 L,<NA>,Yunxiu's fume hood,1,rt,corrosive,https://www.sigmaaldrich.com/US/en/sds/aldrich/339741
"Trifluoroacetic acid, peptide synthesis grade",76-05-1,,Applied Biosystems,450 mL,<NA>,Yunxiu's fume hood,1,rt,"corrosive, toxic (inhalation)",https://www.fishersci.com/store/msds?countryCode=US&keyword=true&language=en&partNumber=BP618500&productDescription=trifluoroacetic-acid-peptide-synthesis-grade-fisher-bioreagentstrade&vendorId=VN00033897
"Trifluoroacetic acid, peptide synthesis grade",76-05-1,,Fisher Scientific,500 mL,<NA>,Yunxiu's fume hood,2,rt,"corrosive, toxic (inhalation)",https://www.fishersci.com/store/msds?countryCode=US&keyword=true&language=en&partNumber=BP618500&productDescription=trifluoroacetic-acid-peptide-synthesis-grade-fisher-bioreagentstrade&vendorId=VN00033897
Acetic acid,64-19-7,,Sigma-Aldrich,2.5 L,<NA>,Yunxiu's fume hood,1,rt,"flammable, causes skin burns",https://www.sigmaaldrich.com/US/en/sds/sigald/695092?userType=anonymous
Glacial acetic acid,64-19-7,,Fisher Scientific,2.5 L,<NA>,Yunxiu's fume hood,1,rt,"flammable, causes skin burns",https://www.sigmaaldrich.com/US/en/sds/sigald/695092?userType=anonymous
