name,cas,carbons,distributor,container_size,state,location,bottles,storage_conditions,hazards,sds_link
dimethylditetradecylammonium bromide,68105-02-02,31,Sigma-Aldrich,5,<NA>,Organics in Upper Cabinets 217,1,"rt, dry",corrosive; aquatic toxicity,https://www.Sigma-Aldrichaldrich.com/US/en/search/68105-02-2?focus=products&term=68105-02-2&type=cas_number
tetra-n-octylammonium bromide,14866-33-2,32,Acros Organics,25,<NA>,Organics in Upper Cabinets 217,1,"rt, dry, inert gas",irritant,https://www.Sigma-Aldrichaldrich.com/US/en/sds/aldrich/294136
tetraoctylammonium bromide,14866-33-2,32,Sigma-Aldrich,25g,<NA>,Organics in Upper Cabinets 217,1,"rt, dry, inert gas",irritant,https://www.Sigma-Aldrichaldrich.com/US/en/sds/aldrich/294136
"Iron(III) tris(2,2,6,6-tetramethyl-3,5-heptanedionate)",14876-47-2,33,Sigma-Aldrich,1 g,<NA>,Organics in Upper Cabinets 217,1,"rt, dry",not classified; dust may cause irritation,https://www.aaronchem.com/sds/14876-47-2.pdf
paraformaldehyde,30535-89-4,99,Acros Organics,500g,<NA>,Organics in Upper Cabinets 217,1,"rt, dry",toxic; skin/eye irritant; sensitizer; suspected carcinogen; flammable solid,https://www.spectrumchemical.com/media/sds/P1010_AGHS.pdf
DL-threonine,80-68-2,4,Sigma-Aldrich,10 g,<NA>,Organics in Upper Cabinets 217,1,,,
4-Methoxyphenol,150-76-5,7,Sigma-Aldrich,100 g,<NA>,Organics in Upper Cabinets 217,1,,,
2-aminoethanesulfonic acid (TAURINE),107-35-7,2,Sigma-Aldrich,50 g,<NA>,Organics in Upper Cabinets 217,1,,,
2-mercaptobenzimidazole,583-39-1,7,Sigma-Aldrich,100 g,<NA>,Organics in Upper Cabinets 217,1,,,
4-(dimethylamino)pyridine,1122-58-3,7,Sigma-Aldrich,25 g,<NA>,Organics in Upper Cabinets 217,2,,,
4-(Dimethylamino)benzaldehyde,0100-10-7,9,Sigma-Aldrich,100 g,<NA>,Organics in Upper Cabinets 217,1,,,
Ninhydrin,485-47-2,9,Sigma-Aldrich,10 g,<NA>,Organics in Upper Cabinets 217,1,,,
Glutathione,70-18-8,10,Acros Organics,5 g,<NA>,Organics in Upper Cabinets 217,1,,,
Sebacic acid,111-20-6,10,Sigma-Aldrich,250 g,<NA>,Organics in Upper Cabinets 217,1,,,
Ethylenediaminetetraacetic acid disodium salt dihydrate,6381-92-6,10,Sigma-Aldrich,100 g,<NA>,Organics in Upper Cabinets 217,1,,,
p-Toluenesulfonyl chloride,98-59-9,7,Sigma-Aldrich,100 g,<NA>,Organics in Upper Cabinets 217,1,,,
Glycolic acid,79-14-1,2,Sigma-Aldrich,1 L,<NA>,Organics in Upper Cabinets 217,1,"rt, dry",corrosive; harmful,https://www.spectrumchemical.com/media/sds/G1020_AGHS.pdf
Glycerol,56-81-5,3,Sigma-Aldrich,500 mL,<NA>,Organics in Upper Cabinets 217,1,rt,not classified; avoid contact,https://assets.thermofisher.com/DirectWebViewer/private/results.aspx?LANGUAGE=d__EN&PLANT=d__ALF&SKU=ALFAAA16205&SUBFORMAT=d__CGV4&page=NewSearch
Benzyldimethyl tetradecyl ammonium chloride dihydrate,147228-81-7,3,Sigma-Aldrich,25,<NA>,Organics in Upper Cabinets 217,1,"rt, dry",corrosive; aquatic toxicity,https://www.Sigma-Aldrichaldrich.com/US/en/sds/aldrich/292796
4-(Aminomethyl)pyridine,3731-53-1,6,Sigma-Aldrich,25 g,<NA>,Organics in Upper Cabinets 217,1,"rt, inert gas",corrosive; flammable liquid; harmful,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AAL06345
octyltrimethylammonium bromide,2083-68-3,11,Fluka,25,<NA>,Organics in Upper Cabinets 217,1,"rt, dry",irritant,https://www.Sigma-Aldrichaldrich.com/US/en/sds/aldrich/13118
Aluminum Hydroxide,21645-51-2,,Fischer Scientific,500 g,<NA>,Lower Cabinet 217,1,rt,irritant (nuisance dust),https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC219130250
Aluminum oxide,1344-28-1,,Sigma-Aldrich,1 kg,<NA>,Lower Cabinet 217,1,rt,irritant (nuisance dust),https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC212250250
"Aluminum Oxide, Basic",1344-28-1,,Thermo Scientific,1kg,<NA>,Lower Cabinet 217,1,rt,irritant (nuisance dust),https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC212250250
"Aluminum oxide, basic",1344-28-1,,sigma-aldrich,1kg,<NA>,Lower Cabinet 217,1,rt,irritant (nuisance dust),https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC212250250
"Aluminum oxide, powder, primarily alpha phase, <= 10 microns",1344-28-1,,Sigma Aldrich,2.5 kg,<NA>,Lower Cabinet 217,1,rt,irritant (nuisance dust),https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC212250250
Calcium Acetate ,5743-26-0,,Fisher Scientific,500 g,<NA>,Lower Cabinet 217,1,rt dry,irritant,https://www.fishersci.com/content/dam/fishersci/en_US/documents/programs/education/regulatory-documents/sds/chemicals/chemicals-c/S25218.pdf
Calcium Carbonate,471-34-1,,Fischer Chemical,500 g,<NA>,Lower Cabinet 217,1,rt,irritant (nuisance dust),https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=C64500
Calcium Carbonate ,471-34-1,,Aldrich Chemical Company,500 g,<NA>,Lower Cabinet 217,1,rt,irritant (nuisance dust),https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=C64500
Calcium Chloride Anhydrous,10043-52-4,,Fisher,500g,<NA>,Lower Cabinet 217,2,rt dry,irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=C77500
Calcium Chloride Dihydrate,10035-04-8,,Fisher,500 g,<NA>,Lower Cabinet 217,1,rt dry,irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=C79500
Calcium Chloride dihydrate,10035-04-8,,Acros,500g,<NA>,Lower Cabinet 217,1,rt dry,irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=C79500
"Calcium Chloride, dessicant, 96+% ",10043-52-4,,Sigma Aldrich,100 g,<NA>,Lower Cabinet 217,1,rt dry,irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=C77500
Calcium Dihydrogen phosphate dihyrdate,301524-28-7,,aldrich,1 kg,<NA>,Lower Cabinet 217,1,rt,irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AAA12123
Calcium fluoride,7789-75-5,,Alfa,100g,<NA>,Lower Cabinet 217,1,rt,irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=C89250
Calcium Hydroxide,1305-62-0,,Acros Organics,100 g ,<NA>,Lower Cabinet 217,1,rt dry,irritant; eye damage,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/PDF/24886417
Calcium Hydroxide,1305-62-0,,Fisher ,500 g,<NA>,Lower Cabinet 217,1,rt dry,irritant; eye damage,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/PDF/24886417
Calcium Nitrate Tetrahydrate ,13477-34-4,,Sigma-Aldrich,500 g,<NA>,Lower Cabinet 217,1,rt dry,oxidizer; irritant,https://sds.aquaphoenixsci.com/SDS/184910_S25226_GHSUnitedStatesSDS_en_2018-02-12.pdf
Calcium Phosphate dibasic dihydrate 98+% extra pure ,7789-77-7,,Acros Organics,1 kg,<NA>,Lower Cabinet 217,1,rt,irritant,https://www.carlroth.com/medias/SDB-HN70-GB-EN.pdf
